Text,Sentiment
বিরক্ত_হয়ে_যেত,Negative
মুখ_খুললেই,Positive
তৃপ্তি_পেতাম_না,Negative
নামটা_পড়ার_পর_লেটুস_পাতা_লাগে,Negative
নাম_টাই_সহ্য_হয়_না ,Negative
বুঝলাম_আসলে_মন_মগজে_একটা_জিনিস_কিভাবে_নিচ্ছ_তার_ওপর_সেই_জিনিসটার_অস্তিত্ব_সম্পূর্ণ_নির্ভর_করে,Neutral
 খারাপ_অভিজ্ঞতা_খারাপ_স্মৃতি,Negative
লেটুস_লাগে,Negative
অনুভূতিটাই_ছাপিয়ে_যাবে_সত্যি_কিছু_করার_নাই,Neutral
মান_বা_স্বাদ_আহামরি_কিছু_পালটায়নি,Neutral
প্রেমে_পরা,Positive
রুম_দেওয়ার_কথা_দিয়েও_কথা_রাখে_নাই,Negative
মান_আশানুরুপের_চেয়ে_খারাপ,Negative
প্লেস_ভালো_লাগছে ,Positive
জরিমানাসহ_প্রতিষ্ঠানটি_সিলগালা_দেয়া_প্রয়োজন,Negative
অস্বাস্থ্যকর_পরিবেশে,Negative
খাবার_খেয়ে_মজা_লাগেনি ,Negative
স্বাদ_খুবই_বাজে,Negative
মান_উন্নত_করা_উচিত,Negative
অনেক_মজার,Positive
আনলিমিটেড ,Positive
এক_কথায়_অসাধারন,Positive
 খেয়ে_জানলাম,Neutral
টাকা_নষ্ট_করতে_হলে_যান,Negative
এত_খারাপ_টেষ্ট_হয়,Negative
সুন্দর_জায়গা,Positive
সব_আইটেম_ভালো,Positive
 লাঞ্চে_গিয়েছি_ডিনারে_থাকে_কিনা_জানিনা,Neutral
চাউমিনটা_খুবই_পচা,Negative
সিফুডের_প্রিপারেশান_থাকলে_ভালো_হতো,Neutral
৩_৪_টা_দল_৬০_৭০_জন_বুয়েটিয়ান_কয়েকজন_স্যাররাও_ছিলেন,Neutral
সালাদগুলো_চমৎকার,Positive
আইটেমটা_শেষ_হলে_refill_না_করে_ফিশ_আইটেম_রাখা  ,Negative
স্বাদ_ভাল_ছিল_এরকম_বুফে_প্রত্যাশিত_নয় ,Positive
পরিবেশন_করতে_দেরি_হয়  ,Negative
 ৭.৩০মধ্যেই_কয়েকটি_পদ_শেষ_হয়ে_যায়,Negative
কালকে_২২_২৩_জনের_group_গিয়েছিলাম,Positive
 ভোজনরসিক_জন্য_অসাধারণ,Positive
বেশ_ভালো_ছিল_আয়োজন,Positive
 সব_খাবারেরর_টেস্ট_ভালো,Positive
সুইট_এন্ড_সাওয়ার_গ্রেভিতে_আনন্দ_পরিপুর্নতা_লাভ_করতো,Negative
সালাদ_বিফ/মাটন_আইটেম_কমিয়ে_চিকেন_ফ্রাই_দেয়া_যেতো,Neutral
 মেন্যুতে_ছিল_চিকেন_ফ্রাই,Negative
লাঞ্চ_টাইমে_বিফ_মাটন_কারি_সাধারন_মনে_হয়েছে ,Negative
মান_সম্পন্ন,Positive
খুব_সুন্দর_পরিবেশ,Positive
আইটেম_আরো_বাড়ানো_উচিত,Negative
আইটেম_লাঞ্চে_দেয়া_উচিত,Neutral
ফাইভ_স্টার_রেটিং_দিচ্ছি_না,Negative
মান_দাম_সার্ভিস_মিলিয়ে_খুব_ভাল_লেগেছে ,Positive
 কোয়ালিটি_বজায়_থাকবে,Positive
কিছু_আইটেম_যোগ_করলে_ভাল_হবে ,Neutral
সার্ভিস_খারাপ ,Negative
গরম_ছিল_না,Negative
খাবার_মোটামুটি ,Neutral
ধন্যবাদ,Neutral
 ভালো_লাগলো_মজাদার_খাবার_খেয়ে,Positive
বারবার_চেয়ে_আনাতে_হয়েছে ,Negative
 দাম_খাবারের_ঘোড়ার_মুতের_মতোন,Negative
জাতের_না,Negative
ভালোই_লাগলো,Positive
পরিবেশন_সাদ_দুইটাই_ভালো,Positive
পরিবেশ_খুব_সুন্দর,Positive
ব্যাবহারের_মান_অনেক_ভালো,Positive
আন্তর্জাতিক_মানের_খাবার_সার্ভিস ,Positive
ভালো_খাবার_পরিবেশের_জন্য_দুরে_যেতে_হয়_না,Positive
ভালোবাসার_জায়গা_খানাপিনার_আয়োজনে,Positive
 পরশু_রাতে_খেয়েছি,Positive
প্রডাক্ট_কোয়ালিটি_অত্যন্ত_চিপ ,Negative
ঘুমাতে_পারিনি,Negative
পেট_খারাপ_করেছে,Negative
সারারাত_বাথরুমে_গেছি,Negative
ব্যবহার_বেশ_ভাল,Positive
 মোটামানুষের_জন্যে_টেবিলগুলা_ভাল_না,Negative
সৎচরিএ_সবসময়_সুন্দর,Positive
১৪০_টাকার_বার্গার_খুলতেই_শেষ_হয়ে_গেল_স্বাদটা_মুখে_লেগে_থাকলো  ,Neutral
প্রশংসা_দেখে_গত_সপ্তাহে_গিয়েছিলাম,Positive
মান_ভাল_হবে,Positive
সাথে_১টা_সস_দিতেই_হয়,Negative
হতাশ_হয়েছি,Negative
জনাকীর্ণ_স্থানে_অর্ডার_ম্যানেজ_আসলেই_প্রসংশনীয়,Positive
ডিসপ্লেতে_টোকেন_নাম্বার_দেখানোর_সুবিধাজনক,Positive
সাফল্য_কামনা_করছি,Positive
আড্ডা_জমবে_খেতে_খেতে ,Positive
খুব_মজার,Positive
পরিবেশটা_বেশ_সুন্দর ,Positive
ফাউল_সার্ভিস,Negative
আরো_ভাল_হবে,Positive
ভাল_ছিল,Positive
খাবার_নিয়ে_কিছু_বলতে_চাইনা,Positive
২_২বার_কাচ্চি_না_পেয়ে_ফেরত_আসছি,Negative
১নং_আইটেম,Positive
চিত্তকে_করিয়াছে_মুগ্ধ_খাবারদাবার_উদরকে_করিয়াছে_শান্ত,Positive
মজার_একটা_প্লেস,Positive
অবস্থানের_তুলনায়_মূল্যও_পরিশোধ_করিতে_হইয়াছে,Negative
সাফল্য_কামনা_করি,Positive
একবেলা_খাবার_খাইতে_বলিব,Positive
সেদিন_গিয়াছিলাম,Positive
বেস্ট_এনভায়রনমেন্ট ,Positive
এক_জায়গাতে_কয়েক_জায়গার_ফিল,Positive
ব্যবহার_খুবই_ভাল,Positive
ওয়েটার_পরিবর্তন_করা_উচিত,Negative
রুচি_সম্মত_জায়গা,Positive
 বারবার_আসতে_পারবো_না,Negative
আফছোস_শহরে_না_থাকায়,Neutral
 সব_ভালো_ব্যাপার_এখানে_আসা,Positive
এলিমেন্ট_যত্নের_ছাপ_স্পস্ট,Positive
বাংঙ্গালীরা_বেশি_হুজুগে_বড়_লোকের_ভাব_দেখাই,Neutral
 ভিতরে_জিরু,Negative
দামটা_একটু_বেশি,Negative
ভ্যাট_নাই_ভালা_লাগছে,Positive
খাবার_ভালা,Positive
ভালবাসি_খাবারের_জন্য_না,Negative
বারকোডে_যায়_২০১৪_সালে,Positive
 সুন্দর_জাইগা_আচরণ ,Positive
এমন_কোন_মাস_নেই_বারকোডে_যায়_নি,Positive
 বিহেভিয়ার_পরিবেশ_সার্ভিসের_জন্য,Positive
চিকেন_পিস_বড়_ছিল ,Positive
৫_স্টার_বারকোড_ভালবাসি,Positive
ভালো_খুবি_ভালো,Positive
দাম_কম_হইলে_বেশি_বেশি_যাইতে_পারতাম,Negative
অসাধারণ,Positive
 ভিন্নধরনের_পদখ্খেপ_অচিরেই_জনপ্রিয়_হবে,Positive
 নামেই_মেজবান,Negative
টেষ্ট_একে_বারেই_বাজে ,Negative
খেতে_বেশ_ভাল_মেজবানি_ফ্লেভার_কম ,Neutral
পরিবেশন_ভাল_লাগেনি_মাটির_সানকি_গুলি_ভেজা,Negative
মেজবানি_কাল_ভুনা_গরুর_নলা_পাওয়া_যায়_না,Negative
গাড়ী_পার্কিং_খুবই_অসুবিধা,Negative
 জায়গাটা_বেশী_ছোট_গাদাগাদি_করে_আরাম_করে_খাওয়া_যায়না ,Negative
মেজবানের_নাম_গন্ধও_নাই,Negative
ব্যবহার_খাবারের_কোন_তুলনা_হয়_না,Positive
আল্লাহ_নেক_হায়াত_দান_করুন_আমিন,Positive
ভালো_খাবারের_যায়গা,Positive
নিসন্দেহে_খেতে_পারেন,Positive
 তেল_অনেক_বেশি,Negative
 চলে_কোনরকম,Neutral
অনেক_পার্থক্য,Negative
মেজবানি_টেস্ট_আসছে_৭০ ,Neutral
মেজ্জান_নাম_হলেও_সম্পূর্ণ_মেজবানি_খাওয়ার_মতো_না,Negative
 বিষ্ময়কে_বাস্তবে_রুপ_দিবে ,Positive
সবাই_টেষ্ট_করতে_পারেন,Positive
চট্টলার_সেরা_মেজ্জান,Positive
খেলাম_তৃপ্ত,Positive
ফ্রেশ_কালা_ভূনা_নলা_সহকারে_জুল,Positive
আচারব্যবহার_খাওয়ারের_মান_সব_ভালো,Positive
ভাল_সার্ভিস,Positive
খুব_ভাল_লাগছে,Positive
অসাধারণ_পরিবেশ,Positive
সুন্দর_পরিবেশ,Positive
মোটামুটি_ভাল_ইন্টেরিয়র_ডিজাইন_খুব_ভাল,Positive
মানসম্মত_খারাপ_মুগ্ধকর_পরিবেশ_সুশীল_ব্যবহার,Neutral
অনেক_মজা_কালা_ভুনা,Positive
ভালই ,Positive
খারাপ_না ,Positive
পারপেক্ট_বাঙালিয়ানা ,Positive
চালিয়ে_নেওয়ার৷_মতো ,Positive
পরিবেশনের_সব_কিছুর_মাটির_তৈরি,Positive
প্রতারক_টাকা_চোরের_রেস্টুরেন্ট,Negative
সেহেরি_ইফতারে_বাসি_খাওয়ার_দেয় ,Negative
 খাবার_খেয়ে_অনেক_ভালো_লাগে,Positive
ভালো_সার্ভিস_বেস্টসেলার_ভালস্বাদ ,Positive
অনেক_মজা,Positive
বাজে_সেট_মেনু_খাওয়া_হয়_নাই,Negative
স্বাদ_গন্ধ_কিচ্ছু_নাই,Negative
 তেলাপোকার_ডিমের_খোসা_বাসনের_ভেতরের_লেগে_ছিলো,Negative
এডভারটাইজ_করসে_একরকম_সার্ভ_করসে_আরেকরকম,Negative
খাবার_পরিবেশন_করা_হয়েছিলো_সেটি_ভালো_ভাবে_পরিস্কার_করে_নি ,Negative
রেস্টুরেন্ট_মধ্যে_অন্যতম,Positive
ব্যবহার_খুবই_আন্তরিক,Positive
সব_ভাল_ছিল,Positive
ভালো_অভিজ্ঞতা,Positive
সেরা_হাড়ি_বিরিয়ানি,Positive
চিন্তা_ভাবনায়_ব্যবসা_অন্য_রকম_মাইল_ফলকে_নিয়ে_যাবে,Positive
ভাইদের_জন্য_শুভ_কামনা_রইল ,Positive
 বিহেভিয়ার_অনেক_ভালো_লাগছে,Positive
 ১০০টাকায়_দারুণ_খাবার,Positive
শুভ_কামনা_রইলো_ভাইয়াদের_জন্য,Positive
 রিভিউ_এটুকু_বলাই_যথেষ্ট,Positive
 মিল_সত্যি_প্রশংসনীয়,Positive
ভাল_পরিবেশ_খাওয়ার_আড্ডা_দেওয়ার_উপযুক্ত_স্থান ,Positive
খুব_অল্প_টাকায়ে_ভাল_খাবার ,Positive
চুল_পেয়েছি,Negative
খাবারের_মান_ভালো,Positive
 সার্ভিস_টা_উন্নত_করলে_ভালো_হবে,Positive
সব_মিলিয়ে_ভালো,Positive
দাম_মোটামুটি,Neutral
খাবারটা_আসাধারন,Positive
 ফার্স্ট_সার্ভ_করলে_আরো_ভালো,Neutral
স্পেসটা_আরো_বাড়ানো_হবে,Neutral
 প্রায়ই_দাড়িয়ে_থাকতে_হয়,Negative
রিজনেবল_প্রাইসে_মানসম্পন্ন_সুস্বাদু_খাবার,Positive
খুবই_মজার,Positive
স্বাদ_দাম_ভেরিয়েশন_পরিবেশন,Positive
আরো_ভালা_হইবু,Positive
খানাপিনা_একদম_ফাটাফাটি,Positive
দাম_কিছু_কমাইলি_বেশী_ভালা_হইতু,Neutral
বাজে_খাবার_বাজে_সার্ভিস ,Negative
দাম_আকাশ_ছোঁয়া,Negative
খাবারে_মাছি ,Negative
ভ্যাট_দিতে_হবে,Negative
খাবার_সার্ভ_করার_ইন্টেরেস্টই-নেই,Negative
বাসি,Negative
হালিমটা_মিষ্টি_হয়ে_গিয়েছিল,Negative
খাবারের_টেস্ট_মোটামুটি  ,Neutral
গুণগতমান_একেবারেই_নেই,Negative
ফালতু,Negative
জঘন্য_রকমের_পরিবেশনা ,Negative
পরিবেশন_জোস_খাবার_বাকওয়াস,Negative
টেবিল_পরিস্কারের_জন্যে_বলতে_হয়,Negative
খাবার_একদম_বাজে_সার্ভিস_খুব_খারাপ,Negative
আফগানিরা_রসায়া_খাবার_খায়না,Negative
টাইম_নাই,Negative
সার্ভিস_বাজে,Negative
বিরক্তিকর,Negative
চট্টগ্রামের_বাসিন্ধারা_ভোজন_রসিক_ঢাকার_তুলনায়_চট্টগ্রাম_কিছুই_না,Positive
কোনো_স্বাদই_পাইনি,Negative
পরিবেশনের_টাইমিং_পারফেক্ট,Positive
 খাবারের_মান_নিয়ে_বলতে_হয় ,Positive
সাইজে_পরিমানে_এক_প্রকার_ঠিক,Positive
মান_খুবই_সাধারণ_মনে_হয়েছে ,Negative
তন্দুরি_আইটেমের_সাথে_আফগানী_বা_পাকিস্তানিরা_রাইখা_খায়_তার_স্বাদ_মিষ্টি_হয়না,Negative
শুভকামনা_করি,Positive
চিনিতে_ভরা,Negative
নামের_সাথে_খাবারের_মানটাকেও_আফগানী_করুন,Negative
 ১৫_ভ্যাট_ধাক্কা_ব্যবসার_জন্য_ভবিষ্যতে_বুমেরাং_হয়ে_দাঁড়াতে_পারে ,Negative
 ১৫_ভ্যাট_বর্তমান_মূল্যের_ভেতরে_রাখলে_দামটা_গ্রহণ_যোগ্য_হবে ,Negative
আসল_রাইথার_স্বাদ_পাইনি,Negative
ধন্যবাদ,Positive
কখনোই_খাওয়া_হবেনা,Negative
ছোট্ট_শহরে_রিক্রিয়েশন_বলতে_বাইরে_খাওয়াকেই_বুঝি,Neutral
অর্ডার_নিলো_হায়দ্রাবাদী_বিরানী_জল_জিরা_কুলফি,Neutral
স্বাদ_একদম_ভালো_লাগেনি  ,Negative
প্লেটার_গুলো_খুব_মজাদার,Positive
খাবারের_কথাতো_নায় ,Negative
গেসিলাম_খাইতে ,Positive
অনেক_মজার_খাবার_ছিলো,Positive
সার্ভিস_একদম_বাজে ,Negative
১৫_ভ্যাটও_লাগে ,Negative
পরিমাণ_ঠিক_আছে_ফুডি_জন্যে_আরেকটু_এক্সট্রা_রাইস_লাগে ,Neutral
স্ট্যান্ডার্ড_লেভেল_কোয়ান্টিটি_দেয় ,Positive
শুনে_ভাল_লেগেছে,Positive
আলাদা_প্লেট_এক্সট্রা_রাইস_ব্যবস্থা_হয়,Neutral
মাংস_বড়_দুই_পিস_খাবার_জন্যে_যথেষ্ট,Positive
৩০মিনিট_বসার_পরেও_কেও_বিল_দিলো_না,Negative
বিহেভায়ার_এক্সিলেন্ট ,Positive
একবার_ভুলে_গেল_পরে_আনলো,Negative
সবাই_এক_না ,Neutral
 service_টাকার_তুলনায়_অনেক_ভাল,Positive
চিকেন_বিরিয়ানির_মধ্যে_বীফ_পাওয়া_যায়,Negative
১৫মিনিট_পর_এসে_জিজ্ঞেস_করলো_কোনো_অর্ডার_আছে_কিনা,Negative
বিলের_দেখা_নাই,Negative
আরো_১৫_মিনিটের_ধাক্কা,Negative
২.৩০ঘন্টা_পার_লরে_ফেলেছি,Negative
এরপরেও_চলে_কিভাবে,Negative
বাসায়_খেতে_চেয়েছি_যেমন_ইচ্ছে_তেমন_বাসি_খাবার_দিবেন,Negative
রেস্টুরেন্ট_গুলোর_ব্যাপারে_সিদ্ধান্তে_আসা_উচিত,Neutral
নিজেরা_খাবেন_না,Negative
পচা_খাবার_খেয়ে_হসপিটাল_যাওয়া_লাগবে,Negative
কিছু_রেস্টুরেন্ট_মালিকরা_এটায়_ভাবেন,Neutral
বুঝিনা_এসব_চলে_কিভাবে,Negative
যারা_বিজনেস_করেন_তারা_কি_কাস্টমারদের_যা_তা_মনে_করেন,Negative
কাচ্চিটা_অনেক_জোশ_ছিল ,Positive
অবশ্যই_ট্রাই_করবেন,Positive
টাকা_কি_কবরে_নিয়ে_যাবেন,Negative
খাবারটা_ছিল_বেশি_ভাল ,Positive
আসলে_খুব_টেস্ট ,Positive
সবকিছু_আলাদা_অন্যরকম_থাকে,Positive
খাবারটা_ছিল_বেশি_ভাল ,Positive
খেতে_ভালো_হতে_পারে,Positive
আলু_তো_নাই_সব_মটর_টক_দেখতে_কেমন,Negative
খেয়ে_খুব_অসাধারণ_লাগলো,Positive
পারফেক্ট_ফর_লাঞ্চ ,Positive
জঘন্য_ফুচকা ,Negative
কেউ_খায়না_তা_পাঠিয়ে_দিয়েছে,Negative
খেয়ে_পেট_ভরে_গেছে,Positive
টেস্ট_ভালো_ছিল,Positive
খাবার_আসে_না,Negative
বিনে_পয়সায়_খে_চাইছি_মনে_হচ্ছে ,Negative
টকে_তেতুল_নাম_গন্ধ_নেই ,Negative
অনেকক্ষণ_পরে_আসলো,Negative
খাওয়ার_মাঝপথে_বললাম,Neutral
টিস্যু_ছিলো_না_বলতে_হইলো,Negative
জল_জিরা_আনতে_আনতে_বিরানী_খাওয়া_শেষ,Negative
 খুব_বেশি_ঝাল,Neutral
খাবার_খেয়ে_ফুড_পয়জনিং_হইসে,Negative
ব্যবসারর_জন্য_পরোটা_বানায়_নাহ,Negative
সার্ভিস_খুব_বাজে,Negative
কয়েক_দিনের_বাসি ,Negative
পৃথিবীর_জঘন্য_বিরিয়ানি,Negative
চিকেন_বিরিয়ানি_সাথে_তেলাপোকা_ফ্রাই,Negative
নাম_করা_রেস্টুরেন্ট_এই_অবস্থা,Negative
সময়_থাকতে_সাবধান_হন,Negative
আজকে_হাউসফুল_কালকে_হাউসনিল,Negative
মেজিস্ট্রাটরা_কি_ঘুমিয়ে_আছে_টাকা_দিয়ে_কি_খাচ্ছি,Negative
২০_২৫_মিনিট_পর_খাবার_আসে ,Negative
চাপ_খেলাম_নেই_কোন_সালাদ_সস,Negative
মান_দিন_দিন_নিম্নমানের_হয়ে_যাচ্ছে,Negative
পুরাই_বাজে,Negative
ব্যাংকের_কার্ড_গ্রহন_করেনি,Negative
৩টা_পিচ্ছি_ছেলে_বয়স্ক_চায়ের_দোকানের_মত_সার্ভ_করেছিল,Negative
খুবই_বাজে_সার্ভিসিং,Negative
গ্রিল_চাইলাম_পাইলাম_না ,Negative
ওয়েটার_বান্দা_দেখলাম_না,Negative
আগে_ভাল_ছিল,Positive
শেষমেষ_মিনারেল_ওয়াটারে_কাজ_চালালাম ,Negative
ঠান্ডা_ঠান্ডা_শর্মা_খাইছি_কোল্ড_ড্রিংকস_চাইলাম_বললো_নেই,Negative
চিকেন_চাপ_চাইলাম_পেলাম_না,Negative
খাবারের_মান_আগের_চেয়ে_অনেক_খারাপ,Negative
টাকাটাই_নষ্ট,Negative
 খাবারের_মধ্যে_অরুচিকর_জিনিশ_পাওয়া_যাই,Negative
ব্যবহার_খুব_বাজে,Negative
আচরন_ঠিক_নয়,Negative
মশা_মাছি_নরমাল_ব্যাপার,Negative
ব্যবহার_অত্যন্ত_ভাল,Positive
কোয়ালিটির_শরমা_খাওয়াছে_মনে_থাকবে,Negative
সব_কিছু_ঠিক_আছে ,Positive
মেনুতে_বিরিয়ানি_ছিল,Positive
সসও_টাকা_দিয়ে_কিনে_খেতে_হয়,Negative
সালাদে_বালি_ছিল,Negative
পরিবেশটা_খুব_ভাল,Positive
ব্যবহার_তুলনা_হয়_না,Positive
দিনে_দিনে_ফালতু_হচ্ছে ,Negative
খুব_মজার_ভিন্ন_খাবার,Positive
পার্টিটা_অসাধারন,Positive
খাবার_খুবই_ভাল,Positive
সার্ভিস_ভালো,Positive
মোটামুটি_ভালো_খাবার,Positive
স্বাদ_অমৃত,Positive
 ভালো_খাবার_রেটিং_দিতে_হয়না,Positive
ছবি_তোলার_জন্য_BEST,Positive
পরিবেশ_খাবার_প্রশংসা_করার_মত,Positive
খাবার_যথেষ্ট_ফালতু,Negative
থাইফুড_ইয়াম্মী,Positive
রেটিং_১০_১০,Positive
রেস্টুরেন্টের_পরিবেশ_সুন্দর,Positive
ব্যাবহার_খুব_ভালো ,Positive
ডেকোরেশন_দারুন,Positive
ঠান্ডা_ছিল_বেশ_আপত্তিকর,Negative
ওয়েটারদের_মুখে_দ্বিধা_কাজ_করছিল,Negative
পরিবেশ_খারাপ_না,Positive
বিলের_উপর_১৫_ভ্যাট ,Negative
ফ্যান_চললে_কোন_সময়ে_বন্ধ_করে_দেয়া_হয়,Negative
এসি_বন্ধ_ছিল,Negative
ছোটখাট_বিষয়ে_সচেতন_থাকবেন,Neutral
ভ্যাটের_বিষয়ে_পরিষ্কার_ধারণা_দিবেন,Neutral
স্বাদ_ভালই,Positive
১২জন_ইফতারি_করতে_গিয়েছিলাম,Positive
খাবারটি_সিলেক্ট_করতে_পারবেন ,Positive
 সময়_মত_ঠান্ডা_পানি_দেয়নি,Negative
ব্যবহার_খুব_ভালো,Positive
 খুবই_বাজে_অভিজ্ঞতা,Negative
 প্রিঅর্ডার_ছিল,Neutral
সময়মত_খাবার_সার্ভ_করেনি,Negative
খুবই_টেস্টি,Positive
বেশি_কিছু_বলা_নাই,Neutral
তাড়াতাড়ি_সাপ্লাই_দিবেন,Negative
তেলাপোকা_চুলের_ফ্লেভার_দিয়েন_না,Negative
গিভিং_৫স্টার,Positive
অনেক_টেস্টি,Positive
জোস_খাবার,Positive
অনেক_মজার_খাবার,Positive
বাজে_একটা_পরিবেশ,Negative
এসি_অাছে_বন্ধ,Negative
মোটামুটি_ভালো,Neutral
পরিমানঃ_যথেষ্ট_থেকেও_বেশি,Positive
Parmanent_customer _হয়ে_গেছি,Positive
মান_টেষ্ট_অনেক_ভালো,Positive
বিহেভিয়ার_এক_কথায়_অসাধারণ ,Positive
অনেক_ভাল_ছিল,Positive
সব_কিছুই_ভাল_ছিল,Positive
shop_owner_behaviour _বাজে,Negative
government_ট্যাক্স_১৫_নিচ্ছে_ভাল_কথা ,Positive
ধন্যবাদ_ব্যাবস্থাপনা_পরিষধ,Positive
মান_ব্যাবহার_পরিবেশ_খুবই_ভালো ,Positive
যেমন_ভাল_ব্যাবহার_তেমন,Positive
অনেক_ভাল_লাগছে,Positive
শুভকামনা,Positive
কাষ্টমার_সন্তুষ্টির_জন্য_গরম_গরম_তৈরি_করে_দিল_সব,Positive
 চিন্তাই_ছিলাম_পাব_কিনা,Neutral
 রাতে_গেলাম_১৫জনে,Positive
মান_স্বাদও_অসাধারন,Positive
আপ্যায়নটা_অনেক_মনোমুগ্ধকর,Positive
সার্ভিস_বিহেভিয়ার_এনভায়রনমেন্ট_ফুডকোয়ালিটি_এভরিথিং_বেটার,Positive
খুব_ভালো_রেস্টুরেন্ট,Positive
বন্ধুরা_মিলে_ঘুরে_আসতে_পারেন,Positive
মান_অসাধারন,Positive
অনেক_ভাল_খাবার_জোস ,Positive
ভেজালমুক্ত_খাবার,Positive
It_s_অস্থির,Positive
কল_করে_রিসার্ভেশন_দিতে_পারবো,Positive
বুকিং_জন্য_অগ্রিম_টাকা_পরিশোধ_করতে_হবে,Negative
খারাপ_ভাষায়_কথা_বলেন_এটা_শিক্ষা,Negative
যুক্তিসঙ্গত_বাস্তবিক,Positive
মুখোমুখি_বললেও_মনোযোগ_দিয়ে_শুনবেন_বলে_বিশ্বাস,Positive
দেখে_সেটিই_মনে_হয়েছে,Neutral
 দুপুরে_কয়টা_থেকে_কয়টা_পর্যন্ত,Neutral
কাস্টমার_হিসেবে_সাজেশন_দিতে_পারে  ,Positive
সত্যিই_চমৎকার,Positive
সার্ভিসটা_ধরে_রাখবেন,Positive
আইটেমগুলো_টেষ্ট_করেছি,Positive
ভালো_হতো,Positive
অতি_সুলভমূল্যে_ফাইভস্টার_হোটেলের_অন্যতম_প্রধান_রেস্টুরেন্ট,Positive
মধ্যেবিত্ত_সদস্যদের_জন্য,Positive
রেস্টুরেন্টের_মালিকপক্ষ_আল্লাহর_খাস_ঈমানদার_বান্দা,Positive
কর্মচারী_বৃন্দ_সবাই_ভালো_মানুষ,Positive
সুলোভ_খরচে_উচ্চবিত্ত_মধ্যবিত্ত_ফাইভস্টার_হোটেলের_সপরিমান_খাবারদাবার,Positive
Lemongrass_Restaurant_এর_স্টুডিও_থেকে_আজকের_বিশেষ_BUFFET_সংবাদ_বুলেটিন,Positive
নতুন_নতুন_আইটেমের_সংযোজন,Positive
আইটেম_বাড়িয়ে_৪৪টি_করা_হয়েছে,Positive
কাস্টোমারদের_অনুরোধ_ফ্রাইড_চিকেন_সংযোজন_করার_সিদ্ধান্ত,Positive
বুফে_হবে_প্রিমিয়াম_বুফে ,Positive
ফুচকা_হাইজেনিক_উপায়ে_বানানো,Positive
জনপ্রিয়_বুফে_লাঞ্চ_ডিনার_সম্পুর্ন_নতুন_আঙ্গিকে_সাজানো_হয়েছে,Positive
সারপ্রাইজ_ফর_কাস্টোমার,Positive
৪৬৬টাকা_ভ্যাট_সার্ভিস_চার্যসহ,Negative
বুফে_খেতে_আসতে_হবে,Positive
মুগ্ধ_করবে,Positive
বুফের_জন্য_বুকিং_দিতে_হবে,Positive
নামাজ_সময়_কল_দিবেন_না,Positive
খাবার_নষ্ট_করবেন_না,Positive
ডিস্কাউন্ট_চেয়ে_লজ্জা_দিবেন_না,Negative
৫তারকা_মানের_১০০_হালাল_খাবার_ডিস্কাউন্ট_দেয়া_সম্ভব_নয়,Negative
অল্প_পেমেন্টের_ফাইভস্টার_হোটেল_চেয়েও_ভালো_খাবার,Positive
পেটুকদের_জন্য_লাভজনক,Positive
 অনেক_অনেক_ধন্যবাদ,Positive
মধ্যবিত্ত_পরিবারের_সদস্যদের_খরচে_মনের_সাধ_মিটিয়ে_খাওয়ার_ব্যবস্থা_করেছেন,Positive
পরিস্কার_পরিচ্ছন্ন_পরিবেশ_সাজসজ্জার_সুন্দর_মনোরম_পরিবেশে,Positive
সংবাদ_বুলেটিন_জন্য_ধন্যবাদ,Positive
শুক্রবার_সন্ধ্যার_আসছি,Positive
লোভ_সামাল_দেয়া_কঠিন,Positive
মন_জিততেসেন,Positive
অনেক_সুন্দর_হেলতি,Positive
 কতদিন_বুফে_থাকে,Positive
 কোন_জায়গায়_অবস্থিত_রেস্টুরেন্টি,Positive
অনেক_অনেক_শুভকামনা,Positive
কত_টাকা_বুফে,Neutral
জায়গা_পাই_না,Negative
 ফুচকা_খেতে_আসতে_চাই,Positive
 অনুপ্রেরণা_কোনোদিন_ভুলবো_না,Positive
 চট্টগ্রাম_আসলে_আসবো,Positive
সম্মানিত_মালিককে_জানাই_সালাম_বিনম্র_শ্রদ্ধা,Positive
ডিনার_বুফে_একটু_স্পেশাল,Positive
কম_আইটেম_থাকে  ,Negative
আসব_ইনশাআল্লাহ,Positive
খুবই_চমৎকার,Positive
আমি_বরিশালের_বাসিন্দা,Positive
অবশ্যই_আসব,Positive
খুব_পছন্দ_করি ,Positive
সব_হেলদি_খাবারগুলো_দেখে_ভালো_লাগতেছে,Positive
খুব_সুন্দর_পরিবেশনা,Positive
খুবই_ভালো_লাগছে,Positive
অসাধারন_ডেকোরেশন,Positive
৫_৬জন_ছোটো_বড়_কোন_ছাড়_আছে,Positive
ট্রিটটা_দিয়ে_দাও,Positive
কবে_নাগাদ,Positive
ব্রাঞ্চ_খুলবেন,Positive
একজন_ক্লাস_ওয়ান_আরেক_জন_ক্লাস_সেবেন_এর_ছাত্রী,Positive
বাচ্চাদের_ডিস্কাউন্ট_আছে_কি,Neutral
ইনশাআল্লাহ_এই_খানে_যাবো,Positive
শাখা_থাকলে_ভাল_হতো,Neutral
অফারটা_পারসেল_হবে,Positive
সৎ_রুচিবান_উদ্যোক্তা_প্রয়োজন,Positive
শেয়ার_করে_দিবেন_সকলের_জন্য,Positive
 সুযোগ_মিস_না_করাই_উত্তম,Positive
সম্পুর্ন_হাইজেনিক_ফুচকা,Positive
