Text,Feature,Sentiment,,,,,,,,,,,,,,,,,,,,,,,
পচা খাবার,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 এটায় ভাবেন,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 চলে কিভাবে,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 যা তা মনে করেন,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 অনেক জোশ ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অবশ্যই  ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 কবরে নিয়ে যাবেন,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
বেশি ভাল ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খুব টেস্ট ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অন্যরকম থাকে,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বেশি ভাল ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালো হতেও পারে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
খটকা ,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 অসাধারণ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
পারফেক্ট ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
জঘন্য ফুচকা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কেউ খায়না ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
পেট ভরে গেছে,quantity,Positive,,,,,,,,,,,,,,,,,,,,,,,
টেস্ট ভালো ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
আসে না,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বিনে পয়সায় ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
পোড়া মরিচ  পানি  ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
অনেকক্ষণ পরে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
মাঝপথে ,service,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 টিস্যু ছিলো ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আনতে আনতে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বেশি ঝাল,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
ফুড পয়জনিং ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বানায় নাহ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
সার্ভিস বাজে,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বাসি ,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 জঘন্য বিরিয়ানি,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 তেলাপোকা ফ্রাই,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 এই অবস্থা,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সাবধান হন,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
হাউসনিল,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
টাকা দিয়ে কি খাচ্ছি,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মিনিট পর ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
নেই ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 নিম্নমানের,quality,Negative,,,,,,,,,,,,,,,,,,,,,,,
ফালতু ,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ব্যাংকের কার্ড ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মেসিয়ারের মত,Service,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাজে সার্ভিসিং ,Service,Negative,,,,,,,,,,,,,,,,,,,,,,,
পাইলাম না ,foos,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বান্দা দেখলাম না,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
আগে ভাল ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
শেষমেষ মিনারেল,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ঠান্ডা ঠান্ডা শর্মা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 পেলাম না,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
অনেক খারাপ ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
টাকাটাই নষ্ট,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 চুল মশা মাছি,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বাজে,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আচরন ঠিক নয়,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
মশা মাছি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
অত্যন্ত ভাল,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
কোয়ালিটির শরমা,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ঠিক আছে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
মেনুতে চিকেন ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সসও টাকা দিয়ে কিনে ,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বালি ,Food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 পরিবেশটা ভাল,enviroment,Positive,,,,,,,,,,,,,,,,,,,,,,,
তুলনা হয় না,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ফালতু হচ্ছে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভিন্ন খাবার,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অসাধারন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খুবই ভাল,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সার্ভিস ভালো,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
মোটামুটি ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
স্বাদ অমৃত,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
রেটিং দিতে হয়না,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ছবি তোলার ,place,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রশংসা ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
যথেষ্ট ফালতু,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ইয়াম্মী,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
রেটিং ১০ ১০,ambience,Positive,,,,,,,,,,,,,,,,,,,,,,,
পরিবেশ সুন্দর,enviroment,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালো ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
দারুন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
আপত্তিকর,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 দ্বিধা ,ambience,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খারাপ না,enviroment,Positive,,,,,,,,,,,,,,,,,,,,,,,
  ভ্যাট ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
বন্ধ করে ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
এসি বন্ধ ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সচেতন ,price,Neutral,,,,,,,,,,,,,,,,,,,,,,,
পরিষ্কার ধারণা ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 স্বাদ ভালই,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 গিয়েছিলাম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অসংখ্য মেনু ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
দেয়নি,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ভালো,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাজে অভিজ্ঞতা,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 প্রি অর্ডার ছিল,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
সময়মত করেনি,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 টেস্টি,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বলা নাই,service,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 তাড়াতাড়ি ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 তেলাপোকা বা চুলের ফ্লেভার ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
গিভিং ৫ স্টার,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 টেস্টি,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 জোস,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 মজার ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
বাজে ,enviroment,Negative,,,,,,,,,,,,,,,,,,,,,,,
এসি বন্ধ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
মোটামুটি ভালো,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
যথেষ্ট থেকেও বেশি,quantity,Positive,,,,,,,,,,,,,,,,,,,,,,,
Parmanent ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অনেক ভালো,food/quality,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অসাধারণ ,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অনেক ভাল ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
overall  ভাল ,price/behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাজে ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
government ট্যাক্স ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ধন্যবাদ ,food/behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খুবই ভালো ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
খাবারটা যেমন ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অনেক ভাল ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 শুভকামনা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
গরম গরম ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 পাব কিনা,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 রাতে গেলাম ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অসাধারন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
মনোমুগ্ধকর,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 মোর দ্যান বেটার,Service,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভালো রেস্টুরেন্ট,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ঘুরে আসতে পারেন,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
অসাধারন,food/service,Positive,,,,,,,,,,,,,,,,,,,,,,,
তেল কম  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভেজালমুক্ত ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অস্থির,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
রিসার্ভেশন ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অগ্রিম টাকা ,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খারাপ ভাষা,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
অসাধারণ ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
বিশ্বাস,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 মনে হয়েছে,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
পর্যন্ত,time,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সাজেশন ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
চমৎকার,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
ধরে রাখবেন,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 টেষ্ট ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভালো হতো,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সুলভ মূল্যে,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
মধ্যেবিত্ত ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
  ঈমানদার ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালো মানুষ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সুলোভ ,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
বুলেটিন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 নতুন আইটেম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাড়িয়ে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রান প্রিয় ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 চমক ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
হাইজেনিক ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অন্যতম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সারপ্রাইজ ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
সার্ভিস চার্য ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
খেতে আসতে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
মুগ্ধ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বুকিং ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 নামাজ সময় ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
খাবার নষ্ট করবেন না,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
লজ্জা দিবেন না,offer,Negative,,,,,,,,,,,,,,,,,,,,,,,
ডিস্কাউন্ট দেয়া সম্ভব নয়,offer,Negative,,,,,,,,,,,,,,,,,,,,,,,
 রাজকীয় ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
লাভজনক,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ধন্যবাদ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সাধ ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
পরিস্কার,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সংবাদ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
বুফে ডিনার ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 লোভ সামাল ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
মন জিততেসেন,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অনেক সুন্দর ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 কতদিন ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 জায়গায় ,location,Positive,,,,,,,,,,,,,,,,,,,,,,,
শুভকামনা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
টাকা ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
জায়গা পাই না,place,Negative,,,,,,,,,,,,,,,,,,,,,,,
খেতে আসতে ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অনুপ্রেরণা ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
আসবো,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
বিনম্র শ্রদ্ধা,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
স্পেশাল ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 কম আইটেম ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ইনশাআল্লাহ,ambience,Positive,,,,,,,,,,,,,,,,,,,,,,,
চমৎকার,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাসিন্দা,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 অবশ্যই আসব,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
খুব পছন্দ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
হেলদি ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 পরিবেশনা,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালো লাগছে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অসাধারন ,enviroment,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ছাড় আছে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ট্রিটটা ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
নাগাদ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
ব্রাঞ্চ ,branch,Positive,,,,,,,,,,,,,,,,,,,,,,,
ক্লাস ওয়ান ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ডিস্কাউন্ট আছে কি,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
এই খানে যাবো,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 শাখা ,branch,Neutral,,,,,,,,,,,,,,,,,,,,,,,
অফারটা পারসেল হবে,delivery_method,Positive,,,,,,,,,,,,,,,,,,,,,,,
 রুচিবান ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
শেয়ার ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
উত্তম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বোনাস,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সাজানো,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
নষ্ট ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ইচ্ছে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
স্বল্প মুল্যে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ব্যবস্থা ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 আসা যায়,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 একটু ভেবে ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
খুব বেশী,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খাবার,quantity,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ওয়ান ইষ্টু টু,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 দুপুরে হয়,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 চিন্তা করবেন,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 জায় না,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 শাখা ,branch,Positive,,,,,,,,,,,,,,,,,,,,,,,
 কত,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 দেখা করবো ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আসবো ,ambience,Positive,,,,,,,,,,,,,,,,,,,,,,,
রান্নাঘরটা ,ambience,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 ভেট ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 দু খ ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খালি নাই,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
পাওয়া যায়,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাচ্চা ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অসাধারণ ,Behave,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সততা ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভাল থাকুন,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
অবশ্যই,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 টানছে ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
চলবে নাকি,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
 দিতে হবে,price,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 টাকা ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মজা,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভিত্তিতে ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 উন্নতি ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 পাটি,offer,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 প্রযোজ্য ,offer,Negative,,,,,,,,,,,,,,,,,,,,,,,
আমেজ ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 স্পেশাল ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রতিবেলা ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভেট  ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
পছন্দের ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আমন্ত্রন,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
মনোরম ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
আশাবাদী ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
অধিক ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রাইস ,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
সর্বমোট ,price,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 গণনা,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
না ফ্রি,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 স্বাদ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্রয়োজন ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
অনেক ভাল ,food/service,Positive,,,,,,,,,,,,,,,,,,,,,,,
মান ,food/service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 উপকৃত,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ছোটাছুটি নয়,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
পছন্দ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভাউচার,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 এক সাথেই ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 নির্ভেজাল ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
আসুন ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাঙলীয়ানায় ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
ঐতিহ্যবাহী ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
পা কয়টা,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 যায় না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 নরমাল চাল ,quality,Negative,,,,,,,,,,,,,,,,,,,,,,,
 নেই,quality,Negative,,,,,,,,,,,,,,,,,,,,,,,
অন্যায়,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কম,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
মানেই ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
নিয়মিতই ,food/behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আচরণ ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কমছে,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কাঙালী ভোজ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ঘেন্না ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
যেমন তেমন,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 লেফট ওভারটা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 পরিবর্তন ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ডিজএপয়েন্টেড,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কোথায়,location,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 আপলোড দেন,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ঐতিহ্যবাহী ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অপেক্ষায় ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
আসছেন তো,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বিশেষ আয়োজন,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 দারুন ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভাড়া,price,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 ভালো ,behave,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালো ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ফাটাফাটি ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
আরো ভালা,Service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভালা হইতু,price,Neutral,,,,,,,,,,,,,,,,,,,,,,,
সব ঠিক ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ওইটা পাই না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
দাম বেশি,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
খুশি হতাম,quality,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 মনে হচ্ছে না,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আসতে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 নরমাল ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
এখন নাই ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
সেইম,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খাওয়াবে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 প্রাইস,food/price,Positive,,,,,,,,,,,,,,,,,,,,,,,
 পাওয়া যায়,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সুযোগ ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
ব্যবস্থাও ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 মেন্যু,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 মিলবে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 নিজস্ব ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ট্রেন্ডটা ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খোলা  ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
বিক্রি ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভিন্ন ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সুযোগ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 অধিক ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 চার্জ ছাড়া ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
সুযোগ ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
খামারের ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভিন্ন ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বরফ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 পিটানো ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 তেলাপোকা ব্লান্ড,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 হল না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আমন্ত্রন,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
সংশোধিত ,offer,Positive,,,,,,,,,,,,,,,,,,,,,,,
 দিনব্যাপী ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
